iter	Passed	Remaining
0	170	84887
1	312	77833
2	423	70202
3	534	66295
4	649	64257
5	764	62927
6	876	61758
7	998	61384
8	1101	60079
9	1212	59414
10	1316	58532
11	1417	57641
12	1531	57359
13	1638	56885
14	1751	56634
15	1867	56488
16	1978	56199
17	2091	56010
18	2229	56432
19	2345	56301
20	2460	56123
21	2559	55607
22	2670	55378
23	2769	54921
24	2865	54446
25	2973	54211
26	3076	53899
27	3176	53547
28	3281	53303
29	3413	53471
30	3547	53677
31	3651	53407
32	3766	53294
33	3867	53008
34	3982	52911
35	4096	52796
36	4198	52535
37	4316	52483
38	4421	52260
39	4528	52076
40	4646	52017
41	4752	51819
42	4865	51713
43	4976	51570
44	5087	51444
45	5196	51285
46	5302	51107
47	5410	50951
48	5509	50713
49	5622	50601
50	5727	50423
51	5830	50230
52	5935	50058
53	6049	49966
54	6159	49832
55	6262	49652
56	6375	49553
57	6492	49476
58	6601	49345
59	6712	49223
60	6817	49063
61	6922	48901
62	7033	48789
63	7139	48636
64	7241	48463
65	7350	48337
66	7454	48173
67	7558	48018
68	7663	47869
69	7773	47748
70	7888	47664
71	8001	47561
72	8107	47420
73	8220	47323
74	8335	47234
75	8444	47112
76	8554	46996
77	8664	46878
78	8769	46733
79	8884	46641
80	8995	46530
81	9101	46395
82	9211	46277
83	9311	46113
84	9415	45969
85	9523	45844
86	9633	45729
87	9739	45599
88	9844	45461
89	9954	45347
90	10064	45236
91	10176	45132
92	10290	45035
93	10403	44932
94	10506	44791
95	10620	44694
96	10728	44574
97	10831	44431
98	10937	44302
99	11049	44198
100	11164	44105
101	11274	43992
102	11380	43865
103	11496	43776
104	11617	43704
105	11727	43591
106	11839	43485
107	11955	43394
108	12060	43263
109	12164	43130
110	12266	42988
111	12379	42887
112	12490	42778
113	12595	42649
114	12696	42505
115	12807	42397
116	12920	42295
117	13020	42150
118	13119	42004
119	13228	41890
120	13347	41805
121	13466	41723
122	13522	41447
123	13627	41320
124	13750	41250
125	13860	41140
126	13965	41018
127	14068	40887
128	14185	40798
129	14287	40664
130	14397	40553
131	14499	40422
132	14618	40337
133	14713	40187
134	14821	40073
135	14915	39919
136	15023	39807
137	15131	39694
138	15246	39598
139	15285	39305
140	15396	39201
141	15498	39074
142	15608	38967
143	15645	38679
144	15753	38568
145	15856	38445
146	15962	38331
147	16020	38102
148	16126	37989
149	16231	37873
150	16335	37755
151	16448	37657
152	16549	37534
153	16656	37423
154	16762	37311
155	16884	37233
156	16994	37128
157	17106	37027
158	17206	36901
159	17274	36707
160	17385	36606
161	17486	36485
162	17590	36368
163	17694	36251
164	17799	36138
165	17911	36039
166	18023	35938
167	18136	35840
168	18238	35721
169	18347	35614
170	18457	35511
171	18562	35398
172	18664	35278
173	18771	35170
174	18881	35065
175	18989	34958
176	19100	34855
177	19211	34753
178	19321	34649
179	19427	34537
180	19534	34428
181	19646	34327
182	19753	34218
183	19867	34119
184	19970	34003
185	20075	33891
186	20181	33780
187	20290	33673
188	20400	33569
189	20509	33462
190	20616	33353
191	20724	33245
192	20841	33151
